Row,Anticipated.Start.Term.Year,Aud_P,Inquiries,Applicants,DateCollected
"1","Fall 2018","CUGRIS",114,176,2020-10-20
"2","Fall 2018","CUGROS",18,19,2020-10-20
"3","Fall 2018","CUTRIS",472,532,2020-10-20
"4","Fall 2018","CUTROS",127,77,2020-10-20
"5","Fall 2018","HSUGIS",3316,2309,2020-10-20
"6","Fall 2018","HSUGOS",3421,863,2020-10-20
"7","Fall 2018","WADC",1445,527,2020-10-20
"8","Fall 2018","WAGRIS",330,465,2020-10-20
"9","Fall 2018","WAGROS",12,26,2020-10-20
"10","Fall 2019","CUGRIS",95,169,2020-10-20
"11","Fall 2019","CUGROS",9,27,2020-10-20
"12","Fall 2019","CUTRIS",293,492,2020-10-20
"13","Fall 2019","CUTROS",44,80,2020-10-20
"14","Fall 2019","HSUGIS",4191,2537,2020-10-20
"15","Fall 2019","HSUGOS",3761,1084,2020-10-20
"16","Fall 2019","WADC",1589,574,2020-10-20
"17","Fall 2019","WAGRIS",288,476,2020-10-20
"18","Fall 2019","WAGROS",17,32,2020-10-20
"19","Fall 2020","CUGRIS",109,207,2020-10-20
"20","Fall 2020","CUGROS",16,45,2020-10-20
"21","Fall 2020","CUTRIS",293,453,2020-10-20
"22","Fall 2020","CUTROS",50,78,2020-10-20
"23","Fall 2020","HSUGIS",3565,2641,2020-10-20
"24","Fall 2020","HSUGOS",2871,1076,2020-10-20
"25","Fall 2020","WADC",1678,583,2020-10-20
"26","Fall 2020","WAGRIS",315,591,2020-10-20
"27","Fall 2020","WAGROS",22,80,2020-10-20
"28","Fall 2021","CUGRIS",34,47,2020-10-20
"29","Fall 2021","CUGROS",4,9,2020-10-20
"30","Fall 2021","CUTRIS",46,55,2020-10-20
"31","Fall 2021","CUTROS",14,16,2020-10-20
"32","Fall 2021","HSUGIS",917,77,2020-10-20
"33","Fall 2021","HSUGOS",1494,40,2020-10-20
"34","Fall 2021","WADC",1047,176,2020-10-20
"35","Fall 2021","WAGRIS",74,104,2020-10-20
"36","Fall 2021","WAGROS",NA,5,2020-10-20
"1","Fall 2018","CUGRIS",114,176,2020-10-28
"2","Fall 2018","CUGROS",18,19,2020-10-28
"3","Fall 2018","CUTRIS",472,532,2020-10-28
"4","Fall 2018","CUTROS",127,77,2020-10-28
"5","Fall 2018","HSUGIS",3314,2309,2020-10-28
"6","Fall 2018","HSUGOS",3421,863,2020-10-28
"7","Fall 2018","WADC",1445,527,2020-10-28
"8","Fall 2018","WAGRIS",329,464,2020-10-28
"9","Fall 2018","WAGROS",12,26,2020-10-28
"10","Fall 2019","CUGRIS",95,169,2020-10-28
"11","Fall 2019","CUGROS",9,27,2020-10-28
"12","Fall 2019","CUTRIS",293,490,2020-10-28
"13","Fall 2019","CUTROS",44,80,2020-10-28
"14","Fall 2019","HSUGIS",4176,2536,2020-10-28
"15","Fall 2019","HSUGOS",3753,1084,2020-10-28
"16","Fall 2019","WADC",1584,574,2020-10-28
"17","Fall 2019","WAGRIS",287,476,2020-10-28
"18","Fall 2019","WAGROS",17,32,2020-10-28
"19","Fall 2020","CUGRIS",109,206,2020-10-28
