"","Stealth","Career","Student.Type","Anticipated.Start.Term.Year","Student.Stage","App.Application.Status","AgeGroup","Region","n"
"1","Not Stealth","","","","Inquiry","Inquiry","Unknown","Remaining USA",7
"2","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","19 and Under","Maine",1
"3","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-26","Maine",6
"4","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-26","Remaining USA",3
"5","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","27 and Up","Maine",4
"6","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","27 and Up","Remaining USA",4
"7","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","27 and Up","Targeted OOS",1
"8","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine",3
"9","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Remaining USA",1
"10","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Targeted OOS",1
"11","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Maine",20
"12","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Remaining USA",12
"13","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Targeted OOS",6
"14","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Maine",37
"15","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Remaining USA",8
"16","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Targeted OOS",1
"17","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","19 and Under","Maine",1
"18","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-26","Maine",16
"19","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-26","Remaining USA",3
"20","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-26","Targeted OOS",1
"21","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","27 and Up","Maine",52
"22","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","27 and Up","Remaining USA",2
"23","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","19 and Under","Maine",12
"24","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-26","Maine",58
"25","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-26","Other NE",1
"26","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-26","Remaining USA",5
"27","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-26","Targeted OOS",1
"28","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","27 and Up","Maine",108
"29","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","27 and Up","Remaining USA",6
"30","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Applied","27 and Up","Maine",4
"31","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Applied","27 and Up","Remaining USA",1
"32","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Confirmed","27 and Up","Maine",1
"33","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Confirmed","27 and Up","Remaining USA",1
"34","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Enrolled","20-26","Maine",2
"35","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Enrolled","27 and Up","Maine",1
"36","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine",18
"37","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Remaining USA",8
"38","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Targeted OOS",4
"39","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","20-26","Maine",38
"40","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","20-26","Other NE",5
"41","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","20-26","Remaining USA",34
"42","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","20-26","Targeted OOS",12
"43","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","27 and Up","Maine",96
"44","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","27 and Up","Other NE",1
"45","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","27 and Up","Remaining USA",38
"46","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","27 and Up","Targeted OOS",8
"47","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","Unknown","Maine",144
"48","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","Unknown","Other NE",4
"49","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","Unknown","Remaining USA",54
"50","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","Unknown","Targeted OOS",9
"51","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Admitted","19 and Under","Maine",2
"52","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Admitted","20-26","Maine",6
"53","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Admitted","20-26","Remaining USA",3
"54","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Admitted","27 and Up","Maine",8
"55","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Admitted","27 and Up","Remaining USA",1
"56","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Admitted","27 and Up","Targeted OOS",3
"57","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Applied","19 and Under","Maine",7
"58","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Applied","20-26","Maine",15
"59","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Applied","20-26","Remaining USA",5
"60","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Applied","20-26","Targeted OOS",1
"61","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Applied","27 and Up","Maine",34
"62","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Applied","27 and Up","Remaining USA",7
"63","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Applied","27 and Up","Targeted OOS",2
"64","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Confirmed","19 and Under","Maine",2
"65","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Confirmed","19 and Under","Targeted OOS",1
"66","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Confirmed","20-26","Maine",8
"67","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Confirmed","20-26","Remaining USA",4
"68","Not Stealth","Graduate","Graduate","Fall 2019","Applicant","Confirmed","27 and Up","Maine",41
