"","Stealth","Career","Student.Type","Anticipated.Start.Term.Year","Student.Stage","App.Application.Status","AgeGroup","Region","FiscalYear","n","DataDate"
"1","Not Stealth","","","","Inquiry","Inquiry","Unknown","Remaining USA",NA,7,2020-10-28
"2","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","19 and Under","Maine","FY17",1,2020-10-28
"3","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-26","Maine","FY15 or earlier",1,2020-10-28
"4","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-26","Maine","FY16",1,2020-10-28
"5","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-26","Maine","FY17",2,2020-10-28
"6","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-26","Maine","FY18",2,2020-10-28
"7","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-26","Remaining USA","FY17",1,2020-10-28
"8","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-26","Remaining USA","FY18",2,2020-10-28
"9","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","27 and Up","Maine","FY15 or earlier",2,2020-10-28
"10","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","27 and Up","Maine","FY17",1,2020-10-28
"11","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","27 and Up","Maine","FY18",1,2020-10-28
"12","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","27 and Up","Remaining USA","FY17",2,2020-10-28
"13","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","27 and Up","Remaining USA","FY18",2,2020-10-28
"14","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","27 and Up","Targeted OOS","FY18",1,2020-10-28
"15","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY15 or earlier",2,2020-10-28
"16","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY17",1,2020-10-28
"17","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Remaining USA","FY15 or earlier",1,2020-10-28
"18","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Targeted OOS","FY17",1,2020-10-28
"19","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Maine","FY15 or earlier",8,2020-10-28
"20","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Maine","FY16",3,2020-10-28
"21","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Maine","FY17",3,2020-10-28
"22","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Maine","FY18",6,2020-10-28
"23","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Remaining USA","FY17",2,2020-10-28
"24","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Remaining USA","FY18",10,2020-10-28
"25","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Targeted OOS","FY17",2,2020-10-28
"26","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-26","Targeted OOS","FY18",4,2020-10-28
"27","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Maine","FY15 or earlier",11,2020-10-28
"28","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Maine","FY16",7,2020-10-28
"29","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Maine","FY17",6,2020-10-28
"30","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Maine","FY18",13,2020-10-28
"31","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Remaining USA","FY16",1,2020-10-28
"32","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Remaining USA","FY17",2,2020-10-28
"33","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Remaining USA","FY18",5,2020-10-28
"34","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","27 and Up","Targeted OOS","FY18",1,2020-10-28
"35","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","19 and Under","Maine","FY15 or earlier",1,2020-10-28
"36","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-26","Maine","FY15 or earlier",5,2020-10-28
"37","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-26","Maine","FY16",1,2020-10-28
